date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
11-23-31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-23-51,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
11-25-11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-25-41,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-31-11,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-37-51,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-40-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-40-41,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-41-51,0,33,0,0,0,0,0,0,0,35,0,0,0,0,0,0
11-42-21,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-47-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
11-48-21,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-49-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-50-01,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
11-50-51,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
11-51-51,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
11-52-01,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
11-52-21,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
11-52-51,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
11-53-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-53-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-53-41,0,0,0,0,0,0,34,0,0,33,0,0,0,0,0,0
11-53-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-54-51,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
11-55-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
11-58-31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-59-31,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-59-41,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
12-00-31,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
12-02-21,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
12-05-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
12-05-11,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
12-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
12-06-41,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
12-21-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
12-24-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-24-21,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
12-24-31,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
12-34-01,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
12-37-41,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
12-37-51,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
12-38-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
12-38-11,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
12-38-51,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-41-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-42-21,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-42-31,0,0,0,0,0,0,0,0,0,33,0,0,0,33,0,0
12-48-11,0,0,0,0,0,0,43,0,0,0,0,0,0,0,38,0
12-48-21,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
12-48-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
12-50-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,33,0
12-50-21,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
12-51-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-52-11,0,35,0,0,0,33,0,0,0,0,0,0,0,0,0,0
12-52-21,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
12-55-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-02-41,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-05-01,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
13-05-51,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
13-06-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-07-01,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
13-10-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-11-31,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
13-12-11,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
13-13-31,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
13-15-21,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-26-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-27-01,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0
13-27-11,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
13-32-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
13-32-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-37-51,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-38-11,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
13-38-21,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
13-38-31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-38-41,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
13-41-01,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
13-41-11,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
13-42-01,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
13-42-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-42-31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
13-44-21,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
13-45-51,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
13-47-11,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
